"C85CCC","Beijing Xiaomi Mobile Software Co., Ltd",,
"24CF24","Beijing Xiaomi Mobile Software Co., Ltd",,
"844693","Beijing Xiaomi Mobile Software Co., Ltd",,
"44DF65","Beijing Xiaomi Mobile Software Co., Ltd",,
"88DA33","Beijing Xiaoyuer Network Technology Co., Ltd",,
"C0B713","Beijing Xiaoyuer Technology Co. Ltd.",,
"001812","Beijing Xinwei Telecom Technology Co., Ltd.",,
"EC153D","Beijing Yaxunhongda Technology Co., Ltd.",,
"A89008","Beijing Yuecheng Technology Co. Ltd.",,
"90834B","BEIJING YUNYI TIMES TECHNOLOGY CO,.LTD",,
"F41C95","BEIJING YUNYI TIMES TECHNOLOGY CO,.LTD",,
"141973","Beijing Yunyi Times Technology Co.,Ltd",,
"3C081E","Beijing Yupont Electric Power Technology Co.,Ltd",,
"5C8613","Beijing Zhoenet Technology Co., Ltd",,
"00249A","Beijing Zhongchuang Telecommunication Test Co., Ltd.",,
"385AA8","Beijing Zhongdun Security Technology Development Co.",,
"6C391D","Beijing ZhongHuaHun Network Information center",,
"00096F","Beijing Zhongqing Elegant Tech. Corp.,Limited",,
"AC83E9","Beijing Zile Technology Co., Ltd",,
"305D38","Beissbarth ",,
"C8FE30","Bejing DAYO Mobile Communication Technology Ltd.",,
"00045D","BEKA Elektronik",,
"C8478C","Beken Corporation",,
"70879E","Beken Corporation",,
"7C092B","Bekey A/S",,
"6C9392","BEKO Technologies GmbH",,
"000DBE","Bel Fuse Europe Ltd.,UK",,
"0012F4","Belco International Co.,Ltd.",,
"001943","Belden",,
"3CB9A6","Belden Deutschland GmbH",,
"94AEE3","Belden Hirschmann Industries (Suzhou) Ltd.",,
"94677E","Belden India Private Limited",,
"ACB181","Belden Mooresville",,
"30CB36","Belden Singapore Pte. Ltd.",,
"0025E6","Belgian Monitoring Systems bvba",,
"6C6567","BELIMO Automation AG",,
"0030BD","BELKIN COMPONENTS",,
"001150","Belkin Corporation",,
"58EF68","Belkin International Inc.",,
"6038E0","Belkin International Inc.",,
"944452","Belkin International Inc.",,
"EC1A59","Belkin International Inc.",,
"E89F80","Belkin International Inc.",,
"D8EC5E","Belkin International Inc.",,
"00173F","Belkin International Inc.",,
"001CDF","Belkin International Inc.",,
"C05627","Belkin International Inc.",,
"149182","Belkin International Inc.",,
"80691A","Belkin International Inc.",,
"C4411E","Belkin International Inc.",,
"24F5A2","Belkin International Inc.",,
"08863B","Belkin International Inc.",,
"302303","Belkin International Inc.",,
"002275","Belkin International Inc.",,
"B4750E","Belkin International Inc.",,
"94103E","Belkin International Inc.",,
"0000DF","BELL & HOWELL PUB SYS DIV",,
"00801A","BELL ATLANTIC",,
"080012","BELL ATLANTIC INTEGRATED SYST.",,
"00001C","BELL TECHNOLOGIES",,
"001CAA","Bellon Pty Ltd",,
"001F36","Bellwin Information Co. Ltd.,",,
"000725","Bematech International Corp.",,
"001F19","BEN-RI ELECTRONICA S.A.",,
"0002C0","Bencent Tzeng Industry Co., Ltd.",,
"98CBA4","Benchmark Electronics",,
"000E9C","Benchmark Electronics ",,
"002359","Benchmark Electronics ( Thailand ) Public Company Limited",,
"907990","Benchmark Electronics Romania SRL",,
"000878","Benchmark Storage Innovations",,
"E0AEB2","Bender GmbH &amp","Londorfer Straße 65 Grünberg Hessen DE 35305 ",
"0023DC","Benein, Inc",,
"F40321","BeNeXt B.V.",,
"002412","Benign Technologies Co, Ltd.",,
"8065E9","BenQ Corporation",,
"B8A3E0","BenRui Technology Co.,Ltd",,
"DCD0F7","Bentek Systems Ltd.",,
"00E046","BENTLY NEVADA CORP.",,
"F43E9D","Benu Networks, Inc.",,
"08ACA5","Benu Video, Inc.",,
"E878A1","BEOVIEW INTERCOM DOO",,
"002262","BEP Marine",,
"0090B9","BERAN INSTRUMENTS LTD.",,
"00E0BA","BERGHOF AUTOMATIONSTECHNIK GmbH",,
"000BFF","Berkeley Camera Engineering",,
"00E078","BERKELEY NETWORKS",,
"74F85D","Berkeley Nucleonics Corp",,
"00014C","Berkeley Process Control",,
"001F2F","Berker GmbH & Co. KG",,
"00213B","Berkshire Products, Inc",,
"000E4C","Bermai Inc.",,
"B4AC8C","Bern University of Applied Sciences",,
"D8DF0D","beroNet GmbH",,
"001F97","BERTANA srl",,
"A01917","Bertel S.p.a.",,
"54F666","Berthold Technologies GmbH and Co.KG",,
"5850E6","Best Buy Corporation",,
"00E0CA","BEST DATA PRODUCTS",,
"A047D7","Best IT World (India) Pvt Ltd",,
"001EA6","Best IT World (India) Pvt. Ltd.",,
"00201F","BEST POWER TECHNOLOGY, INC.",,
"001E1A","Best Source Taiwan Inc.",,
"00015E","BEST TECHNOLOGY CO., LTD.",,
"D82986","Best Wish Technology LTD",,
"D0B523","Bestcare Cloucal Corp.",,
"001DB6","BestComm Networks, Inc.",,
"748E08","Bestek Corp.",,
"00509C","BETA RESEARCH",,
"001502","BETA tech",,
"88C3E5","Betop Techonologies ",,
"B4D8A9","BetterBots",,
"CC0080","BETTINI SRL",,
"001C03","Betty TV Technology AG",,
"000CC3","BeWAN systems",,
"186882","Beward R&D Co., Ltd.",,
"0022BB","beyerdynamic GmbH & Co. KG",,
"9C9019","Beyless",,
"0013C9","Beyond Achieve Enterprises Ltd.",,
"8C640B","Beyond Devices d.o.o.",,
"00191E","Beyondwiz Co., Ltd.",,
"F824E4","Beyonics Technology Electronic (Changshu) Co., Ltd",,
"B8921D","BG T&A",,
"E019D8","BH TECHNOLOGIES",,
"001BB0","Bharat Electronics Limited",,
"00A068","BHP LIMITED",,
"54E4A9","BHR Tech GmbH",,
"44BDDE","BHTC GmbH",,
"684352","Bhuu Limited",,
"F02FD8","Bi2-Vision",,
"000684","Biacore AB",,
"784501","Biamp Systems",,
"0080C3","BICC INFORMATION SYSTEMS & SVC",,
"0024D9","BICOM, Inc.",,
"000F3F","Big Bear Networks",,
"00033F","BigBand Networks, Ltd.",,
"002254","Bigelow Aerospace",,
"001903","Bigfoot Networks Inc",,
"001677","Bihl + Wiedemann GmbH",,
"001D61","BIJ Corporation",,
"F0ED1E","Bilkon Bilgisayar Kontrollu Cih. Im.Ltd.",,
"600347","Billion Electric Co. Ltd.",,
"0004ED","Billion Electric Co., Ltd.",,
"001060","BILLIONTON SYSTEMS, INC.",,
"000D89","Bils Technology Inc",,
"00249C","Bimeng Comunication System Co. Ltd",,
"00A01A","BINAR ELEKTRONIK AB",,
"000AE2","Binatone Electronics International, Ltd",,
"0CD2B5","Binatone Telecommunication Pvt. Ltd",,
"081FEB","BinCube",,
"0090D4","BindView Development Corp.",,
"00A0F9","BINTEC COMMUNICATIONS GMBH",,
"C06369","BINXIN TECHNOLOGY(ZHEJIANG) LTD.",,
"10C586","BIO SOUND LAB CO., LTD.",,
"0014D8","bio-logic SA",,
"001C38","Bio-Rad Laboratories, Inc.",,
"EC14F6","BioControl AS",,
"40D40E","Biodata Ltd",,
"0023FE","Biodevices, SA",,
"507D02","BIODIT",,
"C0613D","BioIntelliSense, Inc.",,
"28DEF6","bioMerieux Inc.",,
"D860B0","bioMérieux Italia S.p.A.",,
"00BAC0","Biometric Access Company",,
"401D59","Biometric Associates, LP",,
"0002BD","Bionet Co., Ltd.",,
"A4DA3F","Bionics Corp.",,
"B0C205","BIONIME",,
"3463D4","BIONIX SUPPLYCHAIN TECHNOLOGIES SLU",,
"00903D","BIOPAC SYSTEMS, INC.",,
"D01242","BIOS Corporation",,
"001F15","Bioscrypt Inc",,
"9CBEE0","Biosoundlab Co., Ltd.",,
"001361","Biospace Co., Ltd.",,
"B8975A","BIOSTAR Microtech Int'l Corp.",,
"003067","BIOSTAR Microtech Int'l Corp.",,
"F4B520","Biostar Microtech international corp.",,
"000BC4","BIOTRONIK GmbH & Co",,
"001BB6","Bird Electronic Corp.",,
"84A24D","Birds Eye Systems Private Limited",,
"00080B","Birka BPA Informationssystem AB",,
"001ECE","BISA Technologies (Hong Kong) Limited",,
"C03F2A","Biscotti, Inc.",,
"4CBAA3","Bison Electronics Inc.",,
"041EFA","BISSELL Homecare, Inc.",,
"0006E7","Bit Blitz Communications Inc.",,
"8C395C","Bit4id Srl",,
"6C4A39","BITA",,
"0012CC","Bitatek CO., LTD",,
"C0B8B1","BitBox Ltd",,
"E8447E","Bitdefender SRL",,
"08115E","Bitel Co., Ltd.",,
"E0A509","Bitmain Technologies Inc",,
"000B54","BiTMICRO Networks, Inc.",,
"88625D","BITNETWORKS CO.,LTD",,
"000708","Bitrage Inc.",,
"0006A3","Bitran Corporation",,
"002527","Bitrode Corp.",,
"00D04F","BITRONICS, INC.",,
"001926","BitsGen Co., Ltd.",,
"786299","BITSTREAM sp. z o.o.",,
"00D0B0","BITSWITCH LTD.",,
"1801E3","Bittium Wireless Ltd",,
"000B3E","BittWare, Inc",,
"000EE5","bitWallet, Inc.",,
"643409","BITwave Pte Ltd",,
"944A09","BitWise Controls",,
"0007E2","Bitworks, Inc.",,
"00062C","Bivio Networks",,
"50C68E","Biwin Semiconductor (HK) Company Limted",,
"001594","BIXOLON CO.,LTD",,
"001ADA","Biz-2-Me Inc.",,
"0040C1","BIZERBA-WERKE WILHEIM KRAUT",,
"9CEBE8","BizLink (Kunshan) Co.,Ltd",,
"A8B0AE","BizLink Special Cables Germany GmbH",,
"0C3796","BIZLINK TECHNOLOGY, INC.",,
"848553","Biznes Systema Telecom, LLC",,
"4097D1","BK Electronics cc",,
"D4D2E5","BKAV Corporation",,
"642677","BKM-Micronic Richtfunkanlagen GmbH",,
"008C10","Black Box Corp.",,
"E86183","Black Diamond Advanced Technology, LLC",,
"489D24","BlackBerry RTS",,
"002557","BlackBerry RTS",,
"001CCC","BlackBerry RTS",,
"68ED43","BlackBerry RTS",,
"70AAB2","BlackBerry RTS",,
"000F86","BlackBerry RTS",,
"34BB1F","BlackBerry RTS",,
"406F2A","BlackBerry RTS",,
"0026FF","BlackBerry RTS",,
"A4E4B8","BlackBerry RTS",,
"F40B93","BlackBerry RTS",,
"1C69A5","BlackBerry RTS",,
"94EBCD","BlackBerry RTS",,
"7C2E0D","Blackmagic Design",,
"F4C6D7","blackned GmbH",,
"48D7FF","BLANKOM Antennentechnik GmbH",,
"B829F7","Blaster Tech",,
"001F5F","Blatand GmbH",,
"001961","Blaupunkt  Embedded Systems GmbH",,
"000387","Blaze Network Products",,
"3CA315","Bless Information & Communications Co., Ltd",,
"001FAE","Blick South Africa (Pty) Ltd",,
"74AB93","Blink by Amazon ",,
"0CA138","Blinq Wireless Inc.",,
"000EA5","BLIP Systems",,
"001439","Blonder Tongue Laboratories, Inc",,
"F03A4B","Bloombase, Inc.",,
"000CE9","BLOOMBERG L.P.",,
"001BEF","Blossoms Digital Technology Co.,Ltd.",,
"880118","BLT Co",,
"149448","BLU CASTLE S.A.",,
"6C5640","BLU Products Inc",,
"28BC05","BLU Products Inc",,
"80FD7B","BLU Products Inc",,
"E4C801","BLU Products Inc",,
"80FD7A","BLU Products Inc",,
"60720B","BLU Products Inc",,
"CC794A","BLU Products Inc.",,
"58F102","BLU Products Inc.",,
"D8B6D6","Blu Tether Limited",,
"681F40","Blu Wireless Technology Ltd",,
"10C07C","Blu-ray Disc Association",,
"001740","Bluberi Gaming Technologies Inc",,
"2CFD37","Blue Calypso, Inc.",,
"00C046","Blue Chip Technology Ltd",,
"4CF45B","Blue Clover Devices",,
"80B708","Blue Danube Systems, Inc",,
"001F78","Blue Fox Porini Textile",,
"0005EB","Blue Ridge Networks, Inc.",,
"98AAD7","BLUE WAVE NETWORKING CO LTD",,
"0018EB","Blue Zen Enterprises Private Limited",,
"001FA5","Blue-White Industries",,
"00060A","Blue2space",,
"001CD8","BlueAnt Wireless",,
"003017","BlueArc UK Ltd",,
"A4A4D3","Bluebank Communication Technology Co.Ltd",,
"00167F","Bluebird Soft Inc.",,
"003AAF","BlueBit Ltd.",,
"F4C02F","BlueBite",,
"001E38","Bluecard Software Technology Co., Ltd.",,
"0017D6","Bluechips Microhouse Co.,Ltd.",,
"B8AD3E","BLUECOM",,
"B8F8BE","BLUECOM",,
"0011B1","BlueExpert Technology Corp.",,
"886B0F","Bluegiga Technologies OY",,
"000780","Bluegiga Technologies OY",,
"0008FD","BlueKorea Co., Ltd.",,
"001EBB","BLUELIGHT TECHNOLOGY INC.",,
"000816","Bluelon ApS",,
"C44E1F","BlueN",,
"001B46","Blueone Technology Co.,Ltd",,
"0012A1","BluePacket Communications Co., Ltd.",,
"ECFE7E","BlueRadios, Inc.",,
"A429B7","bluesky",,
"0008F4","Bluetake Technology Co., Ltd.",,
"002635","Bluetechnix GmbH",,
"000F79","Bluetooth Interest Group Inc.",,
"001958","Bluetooth SIG, Inc.",,
"001BB8","BLUEWAY ELECTRONIC CO","Workshop B,Dong Feng Village, HuiZhou GuangDong CN 516008 ",
"0009C9","BlueWINC Co., Ltd.",,
"000A77","Bluewire Technologies LLC",,
"001AAF","BLUSENS TECHNOLOGY",,
"84E629","Bluwan SA",,
"001373","BLwave Electronics Co., Ltd",,
"001118","BLX IC Design Corp., Ltd.",,
"002131","Blynke Inc.",,
"0013B9","BM SPA",,
"002036","BMC SOFTWARE",,
"FC6DC0","BME CORPORATION",,
"A881F1","BMEYE B.V.",,
"049C62","BMT Medical Technology s.r.o.",,
"0001A9","BMW AG",,
"00013B","BNA SYSTEMS",,
"74F07D","BnCOM Co.,Ltd",,
"F44450","BND Co., Ltd.",,
"0C93FB","BNS Solutions",,
"0006BD","BNTECHNOLOGY Co., Ltd.",,
"001447","BOAZ Inc.",,
"185D9A","BobjGear LLC",,
"0019AD","BOBST SA",,
"0015EC","Boca Devices LLC",,
"00C06D","BOCA RESEARCH, INC.",,
"000D71","boca systems",,
"0021D3","BOCOM SECURITY(ASIA PACIFIC) LIMITED",,
"000B84","BODET",,
"D4AC4E","BODi rS, LLC",,
"2C793D","Boditech Med",,
"000204","Bodmann Industries Elektronik GmbH",,
"94A7BC","BodyMedia, Inc.",,
"000EE4","BOE TECHNOLOGY GROUP CO.,LTD",,
"000E9A","BOE TECHNOLOGY GROUP CO.,LTD",,
"005093","BOEING",,
"A42983","Boeing Defence Australia",,
"9849E1","Boeing Defence Australia",,
"0040BE","BOEING DEFENSE & SPACE",,
"003099","BOENIG UND KALLENBACH OHG",,
"94E2FD","Boge Kompressoren OTTO Boge GmbH & Co. KG",,
"00184C","Bogen Communications",,
"20A787","Bointec Taiwan Corporation Limited",,
"080008","BOLT BERANEK AND NEWMAN INC.",,
"B8653B","Bolymin, Inc.",,
"0011BD","Bombardier Transportation",,
"002099","BON ELECTRIC CO., LTD.",,
"00087E","Bon Electro-Telecom Inc.",,
"001A0B","BONA TECHNOLOGY INC.",,
"0CE82F","Bonfiglioli Vectron GmbH",,
"90D74F","Bookeen",,
"001473","Bookham Inc",,
"303335","Boosty",,
"B45570","Borea",,
"0030EC","BORGARDT",,
"000759","Boris Manufacturing Corp.",,
"84FEDC","Borqs Beijing Ltd.",,
"001B86","Bosch Access Systems GmbH",,
"001017","Bosch Access Systems GmbH",,
"28827C","Bosch Automative products(Suzhou)Co.,Ltd Changzhou Branch",,
"70C6AC","Bosch Automotive Aftermarket",,
"8834FE","Bosch Automotive Products (Suzhou) Co. Ltd",,
"042605","Bosch Building Automation GmbH",,
"641331","Bosch Car Multimedia (Wuhu) Co. Ltd.",,
"000B0F","Bosch Rexroth",,
"000463","Bosch Security Systems",,
"A41894","Bosch Security Systems B.V.",,
"001C44","Bosch Security Systems BV",,
"000131","Bosch Security Systems, Inc.",,
"7CACB2","Bosch Software Innovations GmbH",,
"F04A3D","Bosch Thermotechnik GmbH",,
"2C41A1","Bose Corporation",,
"08DF1F","Bose Corporation",,
"C87B23","Bose Corporation",,
"0452C7","Bose Corporation",,
"ACBF71","Bose Corporation",,
"4C875D","Bose Corporation",,
"2811A5","Bose Corporation",,
"782B64","Bose Corporation",,
"000C8A","Bose Corporation",,
"60ABD2","Bose Corporation",,
"0050B7","BOSER TECHNOLOGY CO., LTD.",,
"94A04E","Bostex Technology Co., LTD",,
"10364A","Boston Dynamics",,
"000F19","Boston Scientific",,
"00A0FE","BOSTON TECHNOLOGY, INC.",,
"1CADD1","Bosung Electronics Co., Ltd.",,
"00035D","Bosung Hi-Net Co., Ltd.",,
"18DFB4","BOSUNG POWERTEC CO.,LTD.",,
"F83CBF","BOTATO ELECTRONICS SDN BHD",,
"001F70","Botik Technologies LTD",,
"FC13F0","Bouffalo Lab (Nanjing) Co., Ltd.",,
"ACD829","Bouffalo Lab (Nanjing) Co., Ltd.",,
"B40ECF","Bouffalo Lab (Nanjing) Co., Ltd.",,
"7CB94C","Bouffalo Lab (Nanjing) Co., Ltd.",,
"A81710","Bouffalo Lab (Nanjing) Co., Ltd.",,
"C4D7FD","Bouffalo Lab (Nanjing) Co., Ltd.",,
"B83DFB","Bouffalo Lab (Nanjing) Co., Ltd.",,
"0019B8","Boundary Devices",,
"0014AC","Bountiful WiFi",,
"10B36F","Bowei Technology Company Limited ",,
"B0672F","Bowers & Wilkins",,
"9C4EBF","BoxCast",,
"D866EE","BOXIN COMMUNICATION CO.,LTD.",,
"A075EA","BoxLock, Inc.",,
"F45842","Boxx TV Ltd",,
"001FBA","Boyoung Tech",,
"001B5E","BPL Limited",,
"000B2F","bplan GmbH",,
"001CB2","BPT SPA",,
"4C7403","BQ",,
"B49D0B","BQ",,
"54A3FA","BQT Solutions (Australia)Pty Ltd",,
"001714","BR Controls Nederland bv",,
"888C19","Brady Corp Asia Pacific Ltd",,
"206FEC","Braemac CA LLC",,
"D47208","Bragi GmbH",,
"000A4F","Brain Boxes Limited",,
"7071B3","Brain Corporation",,
"0007C8","Brain21, Inc.",,
"000AD5","Brainchild Electronic Co., Ltd.",,
"5894B2","BrainCo",,
"000F83","Brainium Technologies Inc.",,
"0001BC","Brains Corporation",,
"00094D","Braintree Communications Pty Ltd",,
"00A02E","BRAND COMMUNICATIONS, LTD.",,
"00505F","BRAND INNOVATORS",,
"002134","Brandywine Communications",,
"00054D","Brans Technologies, Inc.",,
"000683","Bravara Communications, Inc.",,
"246880","Braveridge.co.,ltd.",,
"E01CEE","Bravo Tech, Inc.",,
"A81559","Breathometer, Inc.",,
"0002D8","BRECIS Communications Corporation",,
"002228","Breeze Innovations Ltd.",,
"000494","Breezecom, Ltd.",,
"0020D6","Breezecom, Ltd.",,
"0010E7","Breezecom, Ltd.",,
"00010E","Bri-Link Technologies Co., Ltd",,
"080002","BRIDGE COMMUNICATIONS INC.",,
"000A1C","Bridge Information Co., Ltd.",,
"0003AB","Bridge Information Systems",,
"002464","Bridge Technologies Co AS",,
"0007F5","Bridgeco Co AG",,
"00035B","BridgeWave Communications",,
"00041B","Bridgeworks Ltd.",,
"000DD7","Bright",,
"001739","Bright Headphone Electronics Company",,
"005015","BRIGHT STAR ENGINEERING",,
"000714","Brightcom",,
"90AC3F","BrightSign LLC",,
"5C8486","Brightsource Industries Israel LTD",,
"7C1015","Brilliant Home Technology, Inc.",,
"00180B","Brilliant Telecommunications",,
"54D9E4","BRILLIANTTS CO., LTD",,
"001E0F","Briot International",,
"001041","BRISTOL BABCOCK, INC.",,
"C0074A","Brita GmbH",,
"147EA1","Britania Eletrônicos S.A.",,
"0007AE","Britestream Networks, Inc.",,
"00B0E7","British Federal Ltd.",,
"0000DB","British Telecommunications plc",,
"08002C","BRITTON LEE INC.",,
"0455CA","BriView (Xiamen) Corp.",,
"001D00","Brivo Systems, LLC",,
"00308B","Brix Networks",,
"FCE14F","BRK Brands, Inc.",,
"001AA5","BRN Phoenix",,
"00064E","Broad Net Technology Inc.",,
"48C049","Broad Telecom SA",,
"0019CA","Broadata Communications, Inc",,
"005057","BROADBAND ACCESS SYSTEMS",,
"A88792","Broadband Antenna Tracking Systems",,
"00256D","Broadband Forum",,
"0010FC","BROADBAND NETWORKS, INC.",,
"000FB2","Broadband Pacenet (India) Pvt. Ltd.",,
"0024C9","Broadband Solutions Group",,
"0024C8","Broadband Solutions Group",,
"00A00F","Broadband Technologies",,
"000C0B","Broadbus Technologies",,
"B058C4","Broadcast Microwave Services, Inc",,
"0080CE","BROADCAST TELEVISION SYSTEMS",,
"001BE9","Broadcom",,
"E03E44","Broadcom",,
"000DB6","Broadcom",,
"000AF7","Broadcom",,
"D40129","Broadcom",,
"18C086","Broadcom",,
"001018","Broadcom",,
"38BAB0","Broadcom",,
"BC97E1","Broadcom Limited",,
"5C6F69","Broadcom Limited",,
"00620B","Broadcom Limited",,
"D404E6","Broadcom Limited",,
"E43D1A","Broadcom Limited",,
"84160C","Broadcom Limited",,
"4857D2","Broadcom Limited",,
"9C2183","Broadcom Limited",,
"70B7E4","Broadcom Limited",,
"1423F2","Broadcom Limited",,
"043201","Broadcom Limited",,
"B02628","Broadcom Limited",,
"0005B5","Broadcom Technologies",,
"001229","BroadEasy Technologies Co.,Ltd",,
"4C9E6C","BROADEX TECHNOLOGIES CO.LTD",,
"000298","Broadframe Corporation",,
"B4430D","Broadlink Pty Ltd",,
"00D072","BROADLOGIC",,
"0004A8","Broadmax Technologies, Inc.",,
"000880","BroadTel Canada Communications inc.",,
"0023C0","Broadway Networks",,
"000A9E","BroadWeb Corportation",,
"080088","Brocade Communications Systems LLC",,
"00010F","Brocade Communications Systems LLC",,
"CC4E24","Brocade Communications Systems LLC",,
"00E052","Brocade Communications Systems LLC",,
"0014C9","Brocade Communications Systems LLC",,
"002438","Brocade Communications Systems LLC",,
"748EF8","Brocade Communications Systems LLC",,
"0027F8","Brocade Communications Systems LLC",,
"50EB1A","Brocade Communications Systems LLC",,
"D81FCC","Brocade Communications Systems LLC",,
"BCE9E2","Brocade Communications Systems LLC",,
"00051E","Brocade Communications Systems LLC",,
"C4F57C","Brocade Communications Systems LLC",,
"0012F2","Brocade Communications Systems LLC",,
"001BED","Brocade Communications Systems LLC",,
"000CDB","Brocade Communications Systems LLC",,
"000480","Brocade Communications Systems LLC",,
"609C9F","Brocade Communications Systems LLC",,
"000088","Brocade Communications Systems LLC",,
"0060DF","Brocade Communications Systems LLC",,
"006069","Brocade Communications Systems LLC",,
"000533","Brocade Communications Systems LLC",,
"8C7CFF","Brocade Communications Systems LLC",,
"889471","Brocade Communications Systems LLC",,
"78A6E1","Brocade Communications Systems LLC",,
"0050B2","BRODEL GmbH",,
"0002DD","Bromax Communications, Ltd.",,
"001A21","Brookhuis Applied Technologies BV",,
"000AA9","Brooks Automation GmbH",,
"00A0ED","Brooks Automation, Inc.",,
"00A08A","BROOKTROUT TECHNOLOGY, INC.",,
"008077","Brother industries, LTD.",,
"001BA9","Brother industries, LTD.",,
"3C2AF4","Brother Industries, LTD.",,
"30055C","Brother industries, LTD.",,
"B42200","Brother Industries, LTD.",,
"94DDF8","Brother Industries, LTD.",,
"001787","Brother, Brother & Sons ApS",,
"001616","BROWAN COMMUNICATIONS INCORPORATION",,
"001FAD","Brown Innovations, Inc",,
"00209E","BROWN'S OPERATING SYSTEM SERVICES, LTD.",,
"0000AD","BRUKER INSTRUMENTS INC.",,
"001EA1","Brunata a/s",,
"8016B7","Brunel University",,
"000977","Brunner Elektronik AG",,
"B40B7A","Brusa Elektronik AG",,
"B40B78","Brusa Elektronik AG",,
"B49882","Brusa HyPower AG",,
"003049","BRYANT TECHNOLOGY, LTD.",,
"046D42","Bryston Ltd.",,
"709BFC","Bryton Inc.",,
"D06A1F","BSE CO.,LTD.",,
"38B4D3","BSH Hausgeraete GmbH",,
"C8D778","BSH Hausgeraete GmbH",,
"745D43","BSH Hausgeraete GmbH",,
"68A40E","BSH Hausgeräte GmbH",,
"14EB33","BSMediasoft Co., Ltd.",,
"04B466","BSP Co., Ltd.",,
"0016AD","BT-Links Company Limited",,
"B8B1C7","BT&COM CO.,LTD",,
"C47469","BT9",,
"889CA6","BTB Korea INC",,
"00A05F","BTG Electronics Design BV",,
"0014D0","BTI Systems Inc.",,
"000350","BTICINO SPA",,
"000524","BTL System (HK) Limited",,
"000CAD","BTU International",,
"00117B","Büchi  Labortechnik AG",,
"44EE30","Budelmann Elektronik GmbH",,
"343DC4","BUFFALO.INC",,
"000740","BUFFALO.INC",,
"0024A5","BUFFALO.INC",,
"CCE1D5","BUFFALO.INC",,
"D42C46","BUFFALO.INC",,
"106F3F","BUFFALO.INC",,
"B0C745","BUFFALO.INC",,
"6084BD","BUFFALO.INC",,
"8857EE","BUFFALO.INC",,
"DCFB02","BUFFALO.INC",,
"18ECE7","BUFFALO.INC",,
"9096F3","BUFFALO.INC",,
"000D0B","BUFFALO.INC",,
"001D73","BUFFALO.INC",,
"001601","BUFFALO.INC",,
"7403BD","BUFFALO.INC",,
"58278C","BUFFALO.INC",,
"C436C0","BUFFALO.INC",,
"00E5F1","BUFFALO.INC",,
"50C4DD","BUFFALO.INC",,
"18C2BF","BUFFALO.INC",,
"84AFEC","BUFFALO.INC",,
"004026","BUFFALO.INC",,
"4CE676","BUFFALO.INC",,
"C43CEA","BUFFALO.INC",,
"68E1DC","BUFFALO.INC",,
"002BF5","BUFFALO.INC",,
"DCC622","BUHEUNG SYSTEM",,
"002133","Building B, Inc",,
"C8F704","Building Block Video",,
"6C1414","BUJEON ELECTRONICS Co,.Ltd",,
"D8E0B8","BULAT LLC",,
"C411E0","Bull Group Co., Ltd",,
"000062","BULL HN INFORMATION SYSTEMS",,
"080038","BULL S.A.S.",,
"000EBD","Burdick, a Quinton Compny",,
"304225","BURG-WÄCHTER KG",,
"DCB058","Bürkert Werke GmbH",,
"1C24EB","Burlywood",,
"00C052","BURR-BROWN",,
"00236E","Burster GmbH & Co KG",,
"001673","Bury GmbH & Co. KG",,
"D85DEF","Busch-Jaeger Elektro GmbH",,
"0014F0","Business Security OL AB",,
"08E6C9","Business-intelligence of Oriental Nations Corporation Ltd.",,
"00304E","BUSTEC PRODUCTION LTD.",,
"004034","BUSTEK CORPORATION",,
"A45055","BUSWARE.DE",,
"603553","Buwon Technology",,
"001881","Buyang Electronics Industrial Co., Ltd",,
"8020E1","BVBA DPTechnics",,
"0080FB","BVM LIMITED",,
"58D071","BW Broadcast",,
"000FA5","BWA Technology GmbH",,
"906D05","BXB ELECTRONICS CO., LTD",,
"001CCE","By Techdesign",,
"00E0B9","BYAS SYSTEMS",,
"001EDE","BYD COMPANY LIMITED",,
"90203A","BYD Precision Manufacture Co.,Ltd",,
"BC2392","BYD Precision Manufacture Company Ltd.",,
"98BB1E","BYD Precision Manufacture Company Ltd.",,
"183BD2","BYD Precision Manufacture Company Ltd.",,
"00210A","byd:sign Corporation",,
"3051F8","BYK-Gardner GmbH",,
"0021EA","Bystronic Laser AG",,
"E405F8","Bytedance",,
"ACE87E","Bytemark Computer Consulting Ltd",,
"803FD6","bytes at work AG",,
"0040B0","BYTEX CORPORATION, ENGINEERING",,
"00224F","Byzoro Networks Ltd.",,
"8C598B","C Technologies AB",,
"001DDB","C-BEL Corporation",,
"0001EB","C-COM Corporation",,
"000224","C-COR",,
"000297","C-COR.net",,
"000E10","C-guys, Inc.",,
"389F5A","C-Kur TV Inc.",,
"00233B","C-Matic Systems Ltd",,
"902CC7","C-MAX Asia Limited",,
"78DDD6","c-scape",,
"000EDA","C-TECH UNITED CORP.",,
"00808F","C. ITOH ELECTRONICS, INC.",,
"0040E6","C.A.E.N.",,
"60FFDD","C.E. ELECTRONICS, INC",,
"D80CCF","C.G.V. S.A.S.",,
"90EC50","C.O.B.O. SPA",,
"00056B","C.P. Technology Co., Ltd.",,
"DC647C","C.R.S. iiMotion GmbH",,
"001ACF","C.T. ELETTRONICA",,
"E446BD","C&C TECHNIC TAIWAN CO., LTD.",,
"00093E","C&I Technologies",,
"0008F2","C&S Technology",,
"AC40EA","C&T Solution Inc. ",,
"D89760","C2 Development, Inc.",,
"E0BC43","C2 Microsystems, Inc.",,
